conversation_group_id,turn_id,metric_identifier,score,threshold,result,reason,query
catalog-list-all,list_all,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Retrieve all entries in the Backstage Catalog
catalog-list-all,list_all,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""list or summarize catalog entities using a catalog query tool"". The response directly fulfills this by providing a list of catalog entries (components, groups, resources, APIs) with their descriptions and other relevant details. Although it states it's a ""subset,"" it is still performing the action of listing catalog entities, which aligns perfectly with the ""list or summarize"" part of the expected intent. The format and content are exactly what one would expect as output from a catalog query tool.",Retrieve all entries in the Backstage Catalog
catalog-filter-kind-api,filter_api,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Show me all APIs in the catalog
catalog-filter-kind-api,filter_api,custom:intent_eval,1.0,1.0,PASS,"The question ""Show me all APIs in the catalog"" directly asks for a list of APIs. The expected intent is ""list APIs from the catalog"". The response provides a clear, numbered list of 8 APIs, each with relevant details (description, type, owner, lifecycle, tags). This perfectly matches the expected intent of listing APIs from a catalog.",Show me all APIs in the catalog
catalog-filter-kind-component,filter_component,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",List all Components in the software catalog
catalog-filter-kind-component,filter_component,custom:intent_eval,1.0,1.0,PASS,"The user's question, ""List all Components in the software catalog,"" clearly asks for a comprehensive list of components. The response directly addresses this by providing",List all Components in the software catalog
catalog-filter-kind-resource,filter_resource,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",What Resources are registered in the catalog?
catalog-filter-kind-resource,filter_resource,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""list Resources from the catalog via a filtered catalog query"". The response directly addresses the question ""What Resources are registered in the catalog?"" by providing a detailed list of several resources, including their names, kinds, types, descriptions, owners, and tags. This output perfectly aligns with the action of listing resources from a catalog, which would be the result of such a query. The response's purpose is clearly to provide the requested list of resources.",What Resources are registered in the catalog?
catalog-filter-owner,filter_owner,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Find catalog entities owned by payments-team. Call query-catalog-entities with owner set to payments-team (not a rewritten form like team-payments).
catalog-filter-owner,filter_owner,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""find catalog entities owned by payments-team"". The response directly addresses this by stating ""Here are the catalog entities owned by the payments-team:"" and then providing a detailed list of such entities. The response's purpose is clearly to present the requested information, which perfectly aligns with the expected intent.",Find catalog entities owned by payments-team. Call query-catalog-entities with owner set to payments-team (not a rewritten form like team-payments).
