conversation_group_id,turn_id,metric_identifier,score,threshold,result,reason,query
techdocs-retrieve-home,retrieve_home,custom:tool_eval,1.0,,PASS,Max of 2 judges: 1.000,"If any entity has TechDocs, retrieve the content of its documentation home page; otherwise say none are available after checking."
techdocs-retrieve-home,retrieve_home,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,"If any entity has TechDocs, retrieve the content of its documentation home page; otherwise say none are available after checking."
techdocs-retrieve-home,retrieve_home,ragas:faithfulness,1.0,0.8,PASS,Max of 2 judges: 1.000,"If any entity has TechDocs, retrieve the content of its documentation home page; otherwise say none are available after checking."
techdocs-fetch-api,fetch_typed,custom:tool_eval,1.0,,PASS,Max of 2 judges: 1.000,List TechDocs for API entities only
techdocs-fetch-api,fetch_typed,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,List TechDocs for API entities only
techdocs-fetch-api,fetch_typed,ragas:faithfulness,1.0,0.8,PASS,Max of 2 judges: 1.000,List TechDocs for API entities only
techdocs-fetch-system,fetch_typed,custom:tool_eval,1.0,,PASS,Max of 2 judges: 1.000,List TechDocs for System entities only
techdocs-fetch-system,fetch_typed,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,List TechDocs for System entities only
techdocs-fetch-system,fetch_typed,ragas:faithfulness,1.0,0.8,PASS,Max of 2 judges: 1.000,List TechDocs for System entities only
scaffolder-list-tasks-limit-5,list_tasks_limit,custom:tool_eval,1.0,,PASS,Max of 2 judges: 1.000,Show the 5 most recent scaffolder tasks
scaffolder-list-tasks-limit-5,list_tasks_limit,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show the 5 most recent scaffolder tasks
scaffolder-list-tasks-limit-5,list_tasks_limit,ragas:faithfulness,1.0,0.8,PASS,Max of 2 judges: 1.000,Show the 5 most recent scaffolder tasks
catalog-filter-kind-domain,filter_domain,custom:tool_eval,1.0,,PASS,Max of 2 judges: 1.000,Show me all Domains in the catalog
