conversation_group_id,turn_id,metric_identifier,score,threshold,result,reason,query
catalog-filter-kind-api,filter_api,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show me all APIs in the catalog
catalog-filter-kind-api,filter_api,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show me all APIs in the catalog
catalog-filter-kind-api,filter_api,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show me all APIs in the catalog
catalog-filter-kind-resource,filter_resource,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show me all Resources in the catalog
catalog-filter-kind-resource,filter_resource,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show me all Resources in the catalog
catalog-filter-kind-resource,filter_resource,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show me all Resources in the catalog
catalog-filter-kind-user,filter_user,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show me all Users in the catalog
catalog-filter-kind-user,filter_user,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show me all Users in the catalog
catalog-filter-kind-user,filter_user,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show me all Users in the catalog
catalog-filter-kind-location,filter_location,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show me all Locations in the catalog
catalog-filter-kind-location,filter_location,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show me all Locations in the catalog
catalog-filter-kind-location,filter_location,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show me all Locations in the catalog
catalog-list-all,list_all,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Retrieve all entries in the Backstage Catalog
catalog-list-all,list_all,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Retrieve all entries in the Backstage Catalog
